run_idx,w,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
139,0.8,61,15.445023775100708,-67.66159999999996,0.489218780680764,False,2798.0853112093064,0.4324314585990376
138,0.8,60,187.9407837986946,464.17600000000004,0.03205894010928417,False,2628.666864398402,0.460592426550694
141,0.9,43,16.04098081588745,160.20319999999998,0.2710825078756474,False,3922.26318496965,0.30808258671154326
140,0.9,42,139.2296850681305,265.3725999999998,0.15957541206774045,False,3768.178626492492,0.3696246103853242
142,0.9,44,0.0,400.68689999999987,0.10893013330055519,False,2998.8779880143297,0.4610705317563226
143,0.9,45,180.55076897144318,466.8569999999998,0.04147110747986096,False,4264.61042922365,0.4214411105992448
144,0.9,46,98.47162663936615,6.4299999999998665,0.44713182224440695,False,3934.1438551008873,0.41251072917993253
145,0.9,47,54.7267347574234,24.1282,0.410132310186688,False,3780.372251935562,0.3458529394597579
146,0.9,48,142.49372482299805,257.5046000000002,0.15734964325202078,False,3688.985510306073,0.33585675516062313
149,0.9,51,204.49300855398178,460.97000000000037,0.03715506805506245,False,3762.7848428427324,0.42740118423970336
150,0.9,52,13.54546844959259,168.16460000000004,0.28725340117906517,False,3680.6399991375088,0.2927343216525693
147,0.9,49,84.98632907867432,463.78000000000037,0.0856654148094809,False,4162.005543689782,0.3670805087711057
152,0.9,54,138.56308162212372,246.2529999999998,0.17639897917489844,False,4528.850599761702,0.28320317371533466
148,0.9,50,265.3325665742159,460.97000000000037,0.036138690124453685,False,4084.3423925242196,0.4344638587317915
155,0.9,57,181.61308020353317,466.47400000000044,0.03629048827406881,False,3586.815852062519,0.4116268611043437
156,0.9,58,51.15082859992981,372.5891999999999,0.0674410596071148,False,3907.6685253175915,0.43325163804504097
157,0.9,59,236.27630062401295,460.97000000000037,0.053830898053235224,False,3763.0253087122555,0.437469818478084
151,0.9,53,8.157864212989807,380.42120000000006,0.06800729127490604,False,4135.504175358959,0.3560119835803142
153,0.9,55,0.0,-32.887499999999896,0.4383421567072582,False,3837.255775971155,0.3503343510067361
158,0.9,60,115.62830209732056,108.2595000000002,0.32032749990338755,False,3797.6549625364123,0.36018346737210566
154,0.9,56,0.0,275.3177000000002,0.17230141799237764,False,3198.3699312693716,0.372610647454221
159,0.9,61,128.5851076245308,146.84300000000013,0.26002249504922637,False,4313.678665595857,0.38057687792640466
160,1.0,42,357.7798753976822,454.01000000000005,0.03710145484061332,False,5464.269902329839,0.33994870559654683
161,1.0,43,0.0,390.7131000000001,0.10663667197504609,False,4386.933977549844,0.31791314772433704
162,1.0,44,108.94203186035156,497.87899999999973,0.03857981550418275,False,4608.558664927252,0.3864967678792966
163,1.0,45,167.84745454788208,444.1260000000003,0.04147110747986096,False,5394.124184685079,0.3852507120842098
164,1.0,46,176.28294229507446,468.77199999999965,0.02594115887956696,False,5219.242370325072,0.32960477254839027
165,1.0,47,167.8781360387802,444.1260000000003,0.03585400495866623,False,5283.689870528958,0.3193541286338089
166,1.0,48,179.39332127571106,467.6229999999999,0.04542586911679271,False,5041.71851056743,0.27571818499993056
167,1.0,49,199.96733218431473,462.5850000000004,0.05579236710804858,False,4989.706206166846,0.31340773078875667
169,1.0,51,202.0498365163803,461.3185000000003,0.03715506805506245,False,5702.020043293227,0.37866640587647754
168,1.0,50,193.6727575957775,462.82719999999983,0.036138690124453685,False,5098.214419803457,0.3814344814636259
