w,lambda,seed,mean_S,profit,lost_sales,bullwhip,mean_order,mean_inventory,collapsed,final_value_loss,final_explained_variance,train_steps
0.3,1.0,42,0.0,-128.1,0.5158669877768538,0.0,0.0,196.29677419354837,1,1233.8563900852475,0.32071680607449293,300000
0.3,1.0,43,0.0,-128.1,0.5165728289268111,0.0,0.0,196.1005376344086,1,1312.8967711619841,0.3191404756572511,300000
0.3,1.0,44,0.0,-128.1,0.5173429937269243,0.0,0.0,196.27903225806452,1,1183.8609025199867,0.32374565112285125,300000
0.3,1.0,45,0.0,-128.1,0.5229070936751181,0.0,0.0,196.19892473118279,1,1174.1161798026146,0.3302754478322135,300000
0.3,1.0,46,0.0,-128.1,0.508184749849319,0.0,0.0,196.58602150537635,1,1256.9035156510834,0.3008070583017463,300000
0.3,1.0,47,0.0,-128.1,0.5165791280650451,0.0,0.0,196.31129032258065,1,1289.9453928412195,0.25113127870946866,300000
0.3,1.0,48,0.0,-128.1,0.5208458755746784,0.0,0.0,196.1295698924731,1,1180.614111786758,0.315237994122709,300000
0.3,1.0,49,0.0,-128.1,0.5314132341582017,0.0,0.0,196.21075268817205,1,1131.7876475320584,0.3422787533356593,300000
0.3,1.0,50,0.0,-128.1,0.5153191370466681,0.0,0.0,196.30752688172043,1,1257.6057375372645,0.2739576042717339,300000
0.3,1.0,51,0.0,-128.1,0.518289184051047,0.0,0.0,196.64139784946235,1,1261.8395531157144,0.28860678708451426,300000
0.3,1.0,52,0.0,-128.1,0.5188447054617819,0.0,0.0,196.53870967741938,1,1245.3011395185422,0.27551507300291306,300000
0.3,1.0,53,0.0,-128.1,0.5149925463760175,0.0,0.0,196.33440860215052,1,1198.6508124805246,0.3108544037637547,300000
0.3,1.0,54,0.0,-128.1,0.5174862706277183,0.0,0.0,196.18870967741935,1,1206.0852797027326,0.31722597701427263,300000
0.3,1.0,55,0.0,-128.1,0.5243769008931682,0.0,0.0,196.202688172043,1,1173.0427572788337,0.32275259265532863,300000
0.3,1.0,56,0.0,-128.1,0.5182402578694825,0.0,0.0,196.23709677419356,1,1217.792421489835,0.28701432838908625,300000
