run_idx,w,seed,mean_S,profit,lost_sales,collapsed,final_value_loss,final_explained_variance
144,0.8,46,150.67508816719055,326.4070000000002,0.05876736609093823,False,1943.8121008814294,0.6422859902753074
145,0.8,47,218.32504868507385,460.97000000000037,0.03585400495866623,False,1930.8761163619945,0.6433190669816707
146,0.8,48,226.17295756936073,460.97000000000037,0.04542586911679271,False,1892.934163743124,0.6340263217981813
148,0.8,50,111.1581027507782,119.18209999999983,0.28435947257526883,False,1963.460263433358,0.656009885062053
147,0.8,49,0.0,416.21409999999986,0.11900646359263081,False,1506.249838628128,0.5965105525616521
149,0.8,51,187.99617141485214,464.17600000000004,0.03715506805506245,False,1940.1647210885517,0.6768337495271176
150,0.8,52,234.76016148924828,460.97000000000037,0.037235582552371874,False,2127.5739167709107,0.6069302336653752
151,0.8,53,0.0,463.3273000000002,0.07648597628092248,False,1997.0464822259587,0.5730913531794556
152,0.8,54,220.33178247511387,460.97000000000037,0.044185780254916034,False,1944.2237127650803,0.6300099534136636
154,0.8,56,0.0,192.3233999999999,0.21422213894238612,False,2003.8505707726197,0.633896324759709
153,0.8,55,0.0,461.19000000000034,0.07769926538982816,False,1774.6135178111701,0.6530344267887647
155,0.8,57,235.97073927521706,460.97000000000037,0.03629048827406881,False,1849.0604624571472,0.66997746874955
156,0.8,58,0.0,426.50000000000034,0.09972542861860381,False,1407.6869021893058,0.6408261512520473
157,0.8,59,245.37079874426126,460.97000000000037,0.053830898053235224,False,1936.693698237367,0.653442510919548
158,0.8,60,280.9828966856003,460.97000000000037,0.03205894010928417,False,1710.2378038719175,0.6885089678302201
159,0.8,61,262.01190799474716,460.97000000000037,0.039271175312974645,False,1794.5892003757253,0.6721771418304842
